PlayCode,shortTitle,Genre,Author,TitlePagePrintingDate,UncertainPerformDate,performDate,Format,printingDate,SHC,Act1,Act2,Act3,Act4,Act5,OathTotal
JDrum,Jack Drum's Entertainment (Katherine and Pasquil),Comedies,John Marston (Uncertain: No)|,1601,No,1600,quarto,1601,160-A20867,0,0,1,1,0,2
NobleG,The Noble Gentleman,Comedies,John Fletcher (Uncertain: No)| Francis Beaumont (Uncertain: Yes)|,1647,Yes,1606,folio,1647,160-A27177_05,1,0,0,0,1,2
LovCure,"Love's Cure, or The Martial Maid",Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1606,folio,1647,160-A27177_25,0,0,0,0,0,0
MrDO,Monsieur D'Olive,Comedies,George Chapman (Uncertain: No)|,1606,No,1605,quarto,1606,160-A69093,3,1,7,4,8,23
Weathercock,A Woman is a Weathercock,Comedies,Nathan Field (Uncertain: No)|,1612,Yes,1609,quarto,1612,161-A00725,0,0,0,1,1,2
NW,"The Night Walker, or The Little Thief",Comedies,John Fletcher (Uncertain: No)| James Shirley (Uncertain: No)|,1640,Yes,1611,quarto,1640,161-A00966,0,0,0,0,0,0
ThiTheo,Thierry and Theodoret,Tragedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1621,Yes,1617,quarto,1621,161-A00968,0,0,0,1,0,1
1IA,"The Iron Age, 1",Classical legend,Thomas Heywood (Uncertain: No)|,1632,Yes,1612,quarto,1632,161-A03223_01,0,0,0,0,0,0
2IA,"The Iron Age, 2",Classical legend,Thomas Heywood (Uncertain: No)|,1632,Yes,1612,quarto,1632,161-A03223_02,0,0,0,0,0,0
BF,Bartholomew Fair,Comedies,Ben Jonson (Uncertain: No)|,1631,No,1614,folio,1631,161-A04633_01,2,5,7,12,0,26
Staple,The Staple of News,Comedies,Ben Jonson (Uncertain: No)|,1631,No,1626,folio,1631,161-A04633_03,0,0,1,0,0,1
AKNK,A King and No King,Tragicomedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1619,No,1611,quarto,1619,161-A06207,0,1,1,1,1,4
MaidsT,The Maid's Tragedy,Tragedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1619,Yes,1610,quarto,1619,161-A06289,0,0,0,0,2,2
SL,The Scornful Lady,Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1616,Yes,1610,quarto,1616,161-A06389,0,0,2,0,2,4
Turk,The Turk (Muleasses the Turk),Tragedies,John Mason (Uncertain: No)|,1610,Yes,1607,quarto,1610,161-A07217,4,1,2,2,2,11
FD,The Fatal Dowry,Tragedies,Nathan Field (Uncertain: No)| Philip Massinger (Uncertain: No)|,1632,Yes,1619,quarto,1632,161-A07251,0,2,1,3,0,6
Cheap,A Chaste Maid in Cheapside,Comedies,Thomas Middleton (Uncertain: No)|,1630,No,1613,quarto,1630,161-A07493,0,1,0,0,0,1
FQ,A Fair Quarrel,Tragicomedies,Thomas Middleton (Uncertain: No)| William Rowley (Uncertain: No)|,1617,Yes,1616,quarto,1617,161-A07528,0,0,1,0,0,1
NWWNV,"A New Wonder, A Woman Never Vexed",Comedies,William Rowley (Uncertain: No)|,1632,Yes,1611,quarto,1632,161-A11153,1,5,0,2,0,8
ALbL,All's Lost by Lust,Tragedies,William Rowley (Uncertain: No)|,1633,Yes,1619,quarto,1633,161-A11155,0,2,0,0,0,2
AT,"The Atheist's Tragedy, or The Honest Man's Revenge",Tragedies,Cyril Tourneur (Uncertain: No)|,1611,Yes,1611,quarto,1611,161-A13840,0,1,0,1,0,2
DLC,The Devil's Law Case (When Women Go to Law the Devil Is Full of Business),Tragicomedies,John Webster (Uncertain: No)|,1623,Yes,1619,quarto,1623,161-A14869,0,0,0,0,0,0
Malfi,The Duchess of Malfi,Tragedies,John Webster (Uncertain: No)|,1623,Yes,1614,quarto,1623,161-A14872,0,0,0,0,0,0
RoBDA,The Revenge of Bussy D'Ambois,Tragedies,George Chapman (Uncertain: No)|,1613,Yes,1610,quarto,1613,161-A18421,1,0,3,2,1,7
MML,Match Me in London,Tragicomedies,Thomas Dekker (Uncertain: No)|,1631,No,1611,quarto,1631,161-A20088,1,0,2,4,0,7
MadLov,The Mad Lover,Tragicomedies,John Fletcher (Uncertain: No)|,1647,No,1617,folio,1647,161-A27177_01,0,0,0,2,0,2
LFL,The Little French Lawyer,Comedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1619,folio,1647,161-A27177_03,0,0,0,0,0,0
Capt,The Captain,Comedies,John Fletcher (Uncertain: No)| Francis Beaumont (Uncertain: Yes)|,1647,Yes,1612,folio,1647,161-A27177_06,1,1,5,5,4,16
Cox,The Coxcomb,Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1647,Yes,1609,folio,1647,161-A27177_08,4,3,3,4,3,17
Chances,The Chances,Comedies,John Fletcher (Uncertain: No)|,1647,Yes,1617,folio,1647,161-A27177_10,1,0,1,0,0,2
LoyalSub,The Loyal Subject,Tragicomedies,John Fletcher (Uncertain: No)|,1647,No,1618,folio,1647,161-A27177_11,0,0,0,0,0,0
Candy,The Laws of Candy,Tragicomedies,John Ford (Uncertain: Yes)|,1647,Yes,1619,folio,1647,161-A27177_12,0,0,0,0,0,0
HLt,"The Humorous Lieutenant (Generous Enemies, Demetrius and Enanthe) (The Noble Enemy)",Tragicomedies,John Fletcher (Uncertain: No)|,1647,Yes,1619,folio,1647,161-A27177_15,0,0,0,0,0,0
Bonduca,Bonduca,Tragedies,John Fletcher (Uncertain: No)|,1647,Yes,1613,folio,1647,161-A27177_19,1,0,0,0,0,1
SeaVoy,The Sea Voyage,Comedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,No,1622,folio,1647,161-A27177_20,0,0,0,0,0,0
KoM,The Knight of Malta,Tragicomedies,Nathan Field (Uncertain: No)| John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1618,folio,1647,161-A27177_23,0,0,0,0,0,0
Prize,"The Woman's Prize, or The Tamer Tamed",Comedies,John Fletcher (Uncertain: No)|,1647,No,1611,folio,1647,161-A27177_24,0,1,0,0,0,1
HMF,The Honest Man's Fortune,Tragicomedies,Nathan Field (Uncertain: No)| Philip Massinger (Uncertain: No)| John Fletcher (Uncertain: No)|,1647,No,1613,folio,1647,161-A27177_26,1,0,0,1,0,2
QoC,The Queen of Corinth,Tragicomedies,Nathan Field (Uncertain: No)| John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1617,folio,1647,161-A27177_27,0,0,1,1,0,2
Valen,Valentinian,Tragedies,John Fletcher (Uncertain: No)|,1647,Yes,1614,folio,1647,161-A27177_31,0,0,0,0,1,1
LovPil,Love's Pilgrimage,Tragicomedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)|,1647,Yes,1616,folio,1647,161-A27177_33,0,0,0,1,0,1
CS,The Careless Shepherdess,Pastoral plays,Thomas  Goffe (Uncertain: Yes)|,1656,Yes,1635,quarto,1656,161-A41366,0,1,0,0,0,1
Widow,The Widow,Comedies,Thomas Middleton (Uncertain: No)|,1652,Yes,1609,quarto,1652,161-A46230,1,0,0,0,0,1
OldLaw,"The Old Law, or A New Way to Please You",Comedies,Thomas Middleton (Uncertain: No)| William Rowley (Uncertain: No)| Thomas Heywood (Uncertain: No)|,1656,Yes,1632,quarto,1656,161-A50091,0,0,1,0,0,1
MDBW,More Dissemblers Besides Women,Comedies,Thomas Middleton (Uncertain: No)|,1657,No,1614,octavo,1657,161-A50799_01,0,0,0,0,0,0
HonLaw,The Honest Lawyer,Comedies,S. S. (Uncertain: No)|,1616,Yes,1615,quarto,1616,161-A68683,2,1,1,2,0,6
EB,The Elder Brother,Comedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1637,Yes,1625,quarto,1637,162-A00960,0,0,0,0,0,0
ET,The English Traveller,Tragicomedies,Thomas Heywood (Uncertain: No)|,1633,No,1627,quarto,1633,162-A03195,0,0,1,0,0,1
HA,Herod and Antipater,Tragedies,Gervase Markham (Uncertain: No)| William Sampson (Uncertain: No)|,1622,Yes,1622,quarto,1622,162-A06982,1,1,2,0,2,6
Bondman,The Bondman (The Noble Bondman),Tragicomedies,Philip Massinger (Uncertain: No)|,1624,No,1623,quarto,1624,162-A07234,0,4,0,1,2,7
DoM,The Duke of Milan,Tragedies,Philip Massinger (Uncertain: No)|,1623,Yes,1621,quarto,1623,162-A07237,0,0,0,0,0,0
GDF,The Great Duke of Florence,Tragicomedies,Philip Massinger (Uncertain: No)|,1636,No,1627,quarto,1636,162-A07239,0,0,0,0,0,0
MoH,The Maid of Honor,Tragicomedies,Philip Massinger (Uncertain: No)|,1632,Yes,1621,quarto,1632,162-A07240,0,0,0,0,0,0
NWPOD,A New Way to Pay Old Debts,Comedies,Philip Massinger (Uncertain: No)|,1633,No,1625,quarto,1633,162-A07241,0,0,1,1,0,2
Pic,The Picture,Tragicomedies,Philip Massinger (Uncertain: No)|,1630,No,1629,quarto,1630,162-A07245,0,0,1,0,0,1
Ren,"The Renegado, or The Gentleman of Venice",Tragicomedies,Philip Massinger (Uncertain: No)|,1630,No,1624,quarto,1630,162-A07246,1,0,1,0,1,3
RA,The Roman Actor,Tragedies,Philip Massinger (Uncertain: No)|,1629,No,1626,quarto,1629,162-A07247,0,0,0,0,0,0
UnCombat,The Unnatural Combat,Tragedies,Philip Massinger (Uncertain: No)|,1639,Yes,1624,quarto,1639,162-A07248,0,0,0,1,0,1
VirgMar,The Virgin Martyr,Tragedies,Thomas Dekker (Uncertain: No)| Philip Massinger (Uncertain: No)|,1622,No,1620,quarto,1622,162-A07249,0,0,0,0,0,0
Heir,The Heir,Comedies,Thomas May (Uncertain: No)|,1622,No,1620,quarto,1622,162-A07326,0,0,0,0,0,0
Cleo,"Cleopatra, Queen of Egypt",Tragedies,Thomas May (Uncertain: No)|,1639,No,1626,duodecimo,1639,162-A07330,0,0,0,0,0,0
Julia,"Julia Agrippina, Empress of Rome",Tragedies,Thomas May (Uncertain: No)|,1639,No,1628,duodecimo,1639,162-A07332,0,0,0,0,0,0
MaM,A Match at Midnight,Comedies,W. R. (Uncertain: No)|,1633,Yes,1622,quarto,1633,162-A11151,2,1,1,0,1,5
GS,The Grateful Servant (The Faithful Servant),Tragicomedies,James Shirley (Uncertain: No)|,1630,No,1629,quarto,1630,162-A12138,0,0,0,0,2,2
MR,The Maid's Revenge,Tragedies,James Shirley (Uncertain: No)|,1639,No,1626,quarto,1639,162-A12145,0,0,0,0,0,0
SoC,The School of Compliment (Love Tricks),Comedies,James Shirley (Uncertain: No)|,1631,No,1625,quarto,1631,162-A12152,0,0,1,0,0,1
Wed,The Wedding,Comedies,James Shirley (Uncertain: No)|,1629,No,1626,quarto,1629,162-A12155,0,0,0,0,0,0
WFO,The Witty Fair One,Comedies,James Shirley (Uncertain: No)|,1633,No,1628,quarto,1633,162-A12157,0,0,1,0,0,1
TMM,"Two Merry Milkmaids, or The Best Words Wear the Garland",Comedies,John  Cumber (Uncertain: Yes)|,1620,Yes,1619,quarto,1620,162-A17460,0,3,0,8,0,11
NTCD,A New Trick to Cheat the Devil,Comedies,Robert Davenport (Uncertain: No)|,1639,Yes,1625,quarto,1639,162-A19888,0,0,0,0,1,1
SC,The Spanish Curate,Comedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,No,1622,folio,1647,162-A27177_02,0,0,0,0,0,0
CC,The Custom of the Country,Comedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1620,folio,1647,162-A27177_04,0,0,0,0,0,0
BegBush,Beggars' Bush,Comedies,Francis Beaumont (Uncertain: No)| John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1622,folio,1647,162-A27177_07,0,1,0,0,1,2
FO,The False One,History plays,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1620,folio,1647,162-A27177_09,0,0,0,0,0,0
WL,The Wandering Lovers (The Lovers' Progress) (Cleander),Tragicomedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,No,1623,folio,1647,162-A27177_13,0,0,0,0,0,0
IP,The Island Princess,Tragicomedies,John Fletcher (Uncertain: No)|,1647,Yes,1621,folio,1647,162-A27177_14,0,0,0,0,0,0
NV,"The Nice Valor, or The Passionate Madman",Comedies,Thomas Middleton (Uncertain: No)| John Fletcher (Uncertain: Yes)|,1647,No,1622,folio,1647,162-A27177_16,0,0,1,0,0,1
Mill,The Maid in the Mill,Comedies,John Fletcher (Uncertain: No)| William Rowley (Uncertain: No)|,1647,No,1623,folio,1647,162-A27177_17,1,0,0,0,0,1
Proph,The Prophetess,Tragicomedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,No,1622,folio,1647,162-A27177_18,0,0,0,0,0,0
DMarr,The Double Marriage,Tragedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,1647,Yes,1620,folio,1647,162-A27177_21,0,0,0,0,0,0
Pilgrim,The Pilgrim,Comedies,John Fletcher (Uncertain: No)|,1647,Yes,1621,folio,1647,162-A27177_22,0,0,0,0,0,0
Pleased,Women Pleased,Tragicomedies,John Fletcher (Uncertain: No)|,1647,Yes,1620,folio,1647,162-A27177_28,0,1,0,0,0,1
FMI,The Fair Maid of the Inn,Comedies,John Fletcher (Uncertain: No)| John Ford (Uncertain: No)| Philip Massinger (Uncertain: No)| John Webster (Uncertain: Yes)|,1647,No,1626,folio,1647,162-A27177_32,0,0,0,0,0,0
WGC,The Wild Goose Chase,Comedies,John Fletcher (Uncertain: No)|,1652,Yes,1621,folio,1652,162-A27203,0,1,0,1,0,2
SD,The Sun's Darling,Masques,Thomas Dekker (Uncertain: No)| John Ford (Uncertain: No)|,1656,No,1624,quarto,1656,162-A39898,0,0,0,0,0,0
Change,The Changeling,Tragedies,Thomas Middleton (Uncertain: No)| William Rowley (Uncertain: No)|,1653,No,1622,quarto,1653,162-A50789,0,0,0,0,2,2
WBW,Women Beware Women,Tragedies,Thomas Middleton (Uncertain: No)|,1657,Yes,1621,octavo,1657,162-A50799_02,0,0,0,0,0,0
Queen,"The Queen, or The Excellency of Her Sex",Tragicomedies,John Ford (Uncertain: No)|,1653,Yes,1641,quarto,1653,162-A56872,0,0,2,0,0,2
WoE,The Witch of Edmonton,Tragicomedies,Thomas Dekker (Uncertain: No)| John Ford (Uncertain: No)| William Rowley (Uncertain: No)|,1658,No,1621,quarto,1658,162-A57764,0,0,0,0,0,0
AppVir,Appius and Virginia,Tragedies,John Webster (Uncertain: Yes)|,1654,Yes,1624,quarto,1654,162-A65360,0,0,0,0,0,0
BH,The Broken Heart,Tragedies,John Ford (Uncertain: No)|,1633,Yes,1630,quarto,1633,163-A01046,0,0,0,0,0,0
Perkin,Perkin Warbeck,History plays,John Ford (Uncertain: No)|,1634,Yes,1633,quarto,1634,163-A01047,0,0,0,0,0,0
FCN,The Fancies Chaste and Noble,Comedies,John Ford (Uncertain: No)|,1638,Yes,1635,quarto,1638,163-A01049,0,0,0,0,0,0
LT,The Lady's Trial,Comedies,John Ford (Uncertain: No)|,1639,No,1638,quarto,1639,163-A01052,0,1,0,0,0,1
LS,Love's Sacrifice,Tragedies,John Ford (Uncertain: No)|,1633,Yes,1632,quarto,1633,163-A01056,3,1,0,0,0,4
TPSW,'Tis Pity She's a Whore,Tragedies,John Ford (Uncertain: No)|,1633,Yes,1632,quarto,1633,163-A01057,0,0,1,2,0,3
ArgPar,Argalus and Parthenia,Tragicomedies,Henry Glapthorne (Uncertain: No)|,1639,Yes,1638,quarto,1639,163-A01772,1,0,0,0,0,1
AlWal,Albertus Wallenstein,History plays,Henry Glapthorne (Uncertain: No)|,1639,Yes,1639,quarto,1639,163-A01777,1,0,0,0,0,1
Beauty,A Challenge for Beauty,Tragicomedies,Thomas Heywood (Uncertain: No)|,1636,Yes,1635,quarto,1636,163-A03190,0,0,1,0,0,1
1FMW,"The Fair Maid of the West, or A Girl Worth Gold, 1",Comedies,Thomas Heywood (Uncertain: No)|,1631,Yes,1604,quarto,1631,163-A03201_01,0,0,0,0,0,0
2FMW,"The Fair Maid of the West, or A Girl Worth Gold, 2",Comedies,Thomas Heywood (Uncertain: No)|,1631,Yes,1631,quarto,1631,163-A03201_02,3,1,0,0,1,5
Consp,The Conspiracy (Pallantus and Eudora),Tragicomedies,Henry Killigrew (Uncertain: No)|,1638,No,1635,quarto,1638,163-A04824,0,0,0,0,0,0
SCC,The Seven Champions of Christendom,Romance plays,John Kirke (Uncertain: No)|,1638,Yes,1635,quarto,1638,163-A04874,1,0,0,0,0,1
EmpEast,The Emperor of the East,Tragicomedies,Philip Massinger (Uncertain: No)|,1632,No,1631,quarto,1632,163-A07238,0,2,0,1,0,3
CityMat,The City Match,Comedies,Jasper Mayne (Uncertain: No)|,[1639],Yes,1637,folio,1639,163-A07367,3,1,6,1,0,11
CG,Covent Garden,Comedies,Thomas Nabbes (Uncertain: No)|,1638,No,1633,quarto,1638,163-A07971,0,0,0,0,0,0
HanSci,Hannibal and Scipio,Tragedies,Thomas Nabbes (Uncertain: No)|,1637,No,1635,quarto,1637,163-A07974,0,0,0,0,0,0
